18082855	56248230	53898464	29451286	84168128	31072188	90233044	86423031	63241739	23830528
59292866	27497283	19783862	50563469	47683201	8862774	95034560	11021238	91995239	74531655
5289251	28805575	97148450	91731004	5610103	19202775	31640028	73374265	78563231	57985993
64759753	95343030	11404606	82917702	99487578	67299563	26158435	65182972	87711604	39501452
42667366	84467208	33781354	90766181	33527223	21504705	65350215	82116786	39277631	70551201
59827294	27458916	83126889	95643618	27200492	76366053	63810689	14012285	18891743	24544845
53049094	52616286	34355546	64783443	34380408	14381756	79600863	44969039	11840344	34336581
10463470	19957227	61608620	20510784	12130742	87374276	54814961	90819864	77997313	29857153
9559862	53885677	12909101	97205177	95429092	18942337	16202970	57989545	86897624	27524029
12629416	51804221	62414837	65595262	52198411	27924397	17099226	36351695	5299498	6311178
5558489	45867374	20798846	71564260	31446506	93853995	59805099	64037284	56178061	67979905
70551239	73986986	18941430	83750232	43078602	78356875	33910244	89288255	38266998	77054369
25512901	13170785	20641968	25238543	72570954	20278605	73771937	44117231	4230170	51980920
46621442	13161279	64526484	47159043	565758	68901517	95248946	87902918	201731	19707840
71455212	98158213	57228642	5401679	85583411	26180589	40829157	65883767	53537539	62494457
35203117	1267629	9654785	21488449	60651817	45775666	66176166	95484840	3286541	81487939
65232294	69260864	97052087	94672518	1586207	93273835	18746325	17096038	77176111	15321860
42032512	59600708	56193376	18282486	35143628	90267036	70454713	40003261	98302677	48998000
91806143	56727687	13604602	90887651	95617580	43780836	21204300	22183601	96919810	14486543
45030003	9722344	25173259	79056080	54349667	43753467	90233041	35669545	7196516	86768373
10211862	2523901	98849785	5292121	38321262	86980357	91909041	39637602	53036612	56276658
73868769	68014443	38290539	88896830	11087862	43788571	55809974	98991142	97599939	61778268
12359833	31041224	71983812	97419525	84983463	9252058	6089183	82544911	23054293	66222570
72588172	31866939	69984776	20748481	88319692	39081774	72721209	38399099	61555916	52849676
60675003	8422869	15020525	61983339	18350001	24918981	6756514	77257838	87720774	32694289
21741909	54428204	3593551	62920717	1506804	94621241	80340426	86752378	599312	53379881
62294654	24832283	57189503	59854104	47555518	3335578	80865595	75050607	47110076	90667814
16950609	34433214	49630683	31017162	92954514	62492349	3571250	93798687	10139290	93216522
63454124	92114779	98686416	89983141	15959408	3429962	32888358	97635975	43619059	76949307
53262384	34393098	98938342	12629845	59994453	89819443	9369110	71718362	43533013	84159657
80929460	9106059	26236343	57876989	42328424	61043379	53248908	36160954	14034491	4333432
16657016	82313591	80041910	6053003	43806195	79733272	19990325	24276408	30173943	25941958
19213387	1425191	64440881	87400518	23888386	45003198	61516088	35181315	61892304	79393021
17636887	45232197	42032716	58293969	73027250	91157164	29470833	19135401	51683981	98204620
5671335	89258649	15268173	7794407	2035110	1492417	90372518	20065664	81044165	10340698
83610571	52750105	88785748	55549180	90412375	41676631	95103669	73834024	34871751	22372125
57541401	44042282	13582880	45067053	17296570	43120463	22574887	91810036	59439826	87616744
76332170	88038116	34235927	38167662	78749744	91047871	49609371	27026090	18920420	20251838
97667155	56307210	76444988	62520921	57070463	85872900	79483082	67790915	13697510	61498453
49930995	64032754	59533286	64860675	82667466	1673382	71433126	44280241	77637491	20770765
56540663	98697750	59242206	3229841	41739864	64554623	84379724	88121281	16279573	68570687
26469686	90846511	99169608	76248997	25535306	82759912	58488008	81621815	57912104	69709575
90294048	69217696	38232787	88550278	14179052	50287670	54684564	678392	29535023	65442967
38992155	49978742	25615055	93623413	15073272	82139712	87874450	3156630	37758096	19675088
10145438	80709292	85081951	16762435	43928213	97407321	63387690	15791144	29442433	49592865
34802706	92272418	25067233	70324004	50929857	81066313	97229433	58398682	50910077	48903531
2901359	48969724	31341882	83585043	86701166	41329736	71080190	47181488	49644961	11272632
36135163	8266780	39734267	57213496	32513317	80841522	26883270	34888844	83469380	46536590
499667	89950996	61638090	78033300	30913070	32687916	59469064	82694171	72478528	53180793
83486621	17071802	5266828	96666931	17373548	31851926	74714464	36955240	82752221	46383237
67957137	67858353	40804238	85716038	84416428	20421601	16564550	67237879	785165	22322602
87179077	31024056	38235917	42571929	20032983	42112643	79305776	62214574	75844841	72834422
89209507	23015538	60795674	46748289	18362447	90057091	70862145	41879660	51340082	73848612
44988299	17725770	6105596	91222013	50904615	95260891	77403948	28219951	94998197	56498921
90618298	97289672	75723588	94588350	91709404	69478622	44819727	41932544	63085060	10137185
45984069	1851023	6602184	54580936	53301517	22937707	19022161	69605733	30411948	40170777
9265414	45624780	73176148	89168919	14497673	28792408	79671101	37045388	83737791	97892909
95107608	49287264	62243268	23758294	46922305	22110921	53980730	90294633	85504894	20579023
30872986	66322069	32764000	51677722	21109098	23123270	38129627	29238698	66119680	14915798
82329555	72586052	48050602	71151644	23467955	91566581	60814225	86002172	44875681	56698940
65801662	41858347	55320196	86615451	69241201	5367744	75366667	17259768	78375752	8889354
